card_name,card_description,card_price,link_to_card
Шампунь для ежедневного применения / Daily shampoo pH 5.5 5000 мл,"Шампунь для ежедневного применения рН 5.5 Ollin daily shampoo является отличным средством для ежедневного очищения волос и кожи головы. Средство действует мягко и нежно. Используется активно средство и в профессиональном, и в домашнем уходе. Формула средства содержит растительные масла и активные...",2550,https://www.proficosmetics.ru/catalog/112619/
Шампунь восстанавливающий придающий сияние / Argan Repair Illuminating Shampoo 1000 мл,"Мягкая формула шампуня деликатно очищает кожу головы и волосы, обладает успокаивающим и регулирующим действием. Интенсивный восстанавливающий микс на основе масла арганы и экстракта хинного дерева способствует восстановлению, обеспечивает интенсивное питание и увлажнение, возвращает природную силу....",970,https://www.proficosmetics.ru/catalog/3067066/
Шампунь усиливающий завиток / LOVE ESSENTIAL HAIRCARE 250 мл,"Шампунь для усиления завитка LOVE мягко и деликатно очищает вьющиеся волосы и придает им объем, эластичность и мягкость. Содержит экстракт миндаля с фермы синьора Карло Ассенца из Ното. Насыщен протеинами, витаминами В и Е. Обновленная формула с экстрактом миндаля из Ното питает и увлажняет...",2380,https://www.proficosmetics.ru/catalog/31219/
Шампунь Яркость цвета / CARE Color Brillianz Shampoo 1000 мл,"Шампунь «Яркость цвета» Кене создан для окрашенных волос. Специальная формула предотвращает вымывание цвета и дарит продолжительный блеск. Улучшает состояние волос, UVA и UVB фильтры берегут от солнечных повреждений. Экстракт семян подсолнечника предупреждает потускнение цвета окрашенных волос,...",3395,https://www.proficosmetics.ru/catalog/113178/
Шампунь ежедневный для волос / Shampoo Daily 1000 мл,"Ежедневный шампунь для частого применения подходит для всех типов волос. Идеальное сочетание алтея и мальвы обеспечивает деликатное очищение; освежающее и нормализующее воздействие на кожу головы. Волосы вновь обретают свое великолепие и жизненную силу, становятся легкими и оживленными.",1050,https://www.proficosmetics.ru/catalog/3063428/
Шампунь увлажняющий с маслом облепихи и маслом манго / СОNTEMPORA 1000 мл,"Деликатное очищает и увлажняет волосы, придавая им блеск. Шампунь обеспечивает волосы питательными веществами, жизненно необходимыми для их здоровья, одновременно укрепляет стержень и защищает его от неблагоприятных внешних воздействий. Глубоко увлажняет волосы, делая их необыкновенно мягкими и...",1430,https://www.proficosmetics.ru/catalog/90476/
Шампунь для ежедневного применения / Daily shampoo pH 5.5 1000 мл,"Шампунь для ежедневного применения рН 5.5 Ollin daily shampoo является отличным средством для ежедневного очищения волос и кожи головы. Средство действует мягко и нежно. Используется активно средство и в профессиональном, и в домашнем уходе. Формула средства содержит растительные масла и активные...",680,https://www.proficosmetics.ru/catalog/112618/
Шампунь для придания объема волосам / VOLUMIZING LOW SHAMPOO 250 мл,"Легкий шампунь для тонких волос мягко очищает, делает волосы густыми и придает естественный объем от корней. Тонкие волосы становятся плотными и густыми без потери мягкости. Подходит для окрашенных волос. CLIMATE-PROOF - это специальный активный ингредиент, который поддерживает оптимальный уровень...",1365,https://www.proficosmetics.ru/catalog/2353827/
Шампунь балансирующий / Balance 1000 мл,"Балансирующий шампунь для жирных волос BALANCE SHAMPOO. Идеально подходит для борьбы с чрезмерной жирностью волос и кожи головы. Инновационная смесь трав нейтрализует жирность волос и кожи головы, очищая их. Нормализует баланс. Сужает каналы сальных желез и уменьшает их выделение. Простое и легкое...",2600,https://www.proficosmetics.ru/catalog/3090727/
Шампунь для увеличения объема / VOLU ESSENTIAL HAIRCARE 250 мл,"Шампунь для придания объема VOLU нежно очищает и уплотняет волосы, не перегружая их. Содержит экстракт репы из Капрауны, выращенной в рамках программы Slow Food Presidium. Формула, насыщена такими минералами, как фосфор, железо, кальций и витамины А, В и С. Шампунь придает локонам плотность и...",2380,https://www.proficosmetics.ru/catalog/50559/
"Шампунь увлажняющий для плотных/жестких, сухих волос / MOISTURE RECOVERY REFRESH 1000 мл","Ваши волосы будут буквально впитывать влагу, которой этот роскошный шампунь насыщает каждую сухую, обезвоженную прядь. Шампунь помогает вернуть упругость, эластичность, блеск и гладкость сухим, толстым и жестким волосам. Мягко очищает, не разрушая жизненно важную гидролипидную пленку....",8079,https://www.proficosmetics.ru/catalog/2945980/
Шампунь для поврежденных волос / SDL R REPARATIVE LOW SHAMPOO 250 мл,"Восстанавливающий шампунь для поврежденных волос. Мягко очищает волосы. Экстракт бамбука придает волосам прочность и эластичность. Комплекс сохранения цвета продлевает и усиливает сияние и интенсивность цвета. Подходит для окрашенных волос. Не содержит сульфатов (SLES FREE), мягкое воздействие на...",1460,https://www.proficosmetics.ru/catalog/84118/
Шампунь для защиты цвета окрашенных нормальных и тонких волос / Brilliance 1000 мл,ШАМПУНЬ ДЛЯ ЗАЩИТЫ ЦВЕТА ОКРАШЕННЫХ НОРМАЛЬНЫХ И ТОНКИХ ВОЛОС WELLA INVIGO COLOR BRILLIANCE 1000 МЛ. Шампунь для защиты цвета INVIGO Color Brilliance с оптимальным уровнем pH. Для защиты цвета на срок до 7 недель при регулярном использовании. Формула с оптимальным низким уровнем рН помогает закрыть...,2350,https://www.proficosmetics.ru/catalog/44784/
Шампунь для объёма волос всех типов / Biorich Light Shampoo 1000 мл,"Мягкая формула шампуня специально разработана для бережного очищения волос и кожи головы. Комплекс биодоступных минералов Bio-Active Mineral Complex c экстрактом шалфея и овса прекрасно увлажняет и восстанавливает структурные элементы кортекса, обладает успокаивающим, смягчающим и регенерирующим...",970,https://www.proficosmetics.ru/catalog/3067053/
Шампунь питательный для уплотнения волос / NOUNOU ESSENTIAL HAIRCARE shampoo 250 мл,"Питательный шампунь для уплотнения волос. Шампунь NOUNOU предназначен для сухих или волос, химически поврежденных в результате мелирования, обесцвечивания, перманентной завивки или выпрямления. Он содержит экстракт томата сорта Фьяскетто из Торре Гуачето, выращенного в рамках программы Slow Food...",2380,https://www.proficosmetics.ru/catalog/82365/
Шампунь восстанавливающий для поврежденных волос с пшеничными протеинами / AAA X-FORM 1000 мл,"X-FORM — полная программа по уходу за волосами для бережного очищения, восстановления поврежденных и химически обработанных волос, придания блеска и силы хрупким волосам. X-Real Reconstructine Shampoo восстанавливающий шампунь для поврежденных волос с пшеничными...",1260,https://www.proficosmetics.ru/catalog/1657391/
Шампунь-эликсир для восстановления и придания сияющего блеска / Elixir Care Shampoo 1000 мл,"Шампунь-эликсир для восстановления и придания сияющего блеска Elixir Care Shampoo — мягко очищает истонченные поврежденные волосы, обеспечивая стойкость и защиту цвета, усиливает яркость и придаёт дополнительный блеск. Абсолютно не содержит парабенов, силиконов, красителей,...",2245,https://www.proficosmetics.ru/catalog/133635/
Шампунь фитоэссенциальный против выпадения 750 мл,"Применяется во всех случаях выпадения волос. Продукт рекомендован при плохом питании волосяных луковиц, при гормональных сбоях и беременности, ярко выраженной работе сальных желез, при авитаминозе, нервных напряжениях и стрессах, при диетах/недостатке витаминов, при смене температурного режима....",5845,https://www.proficosmetics.ru/catalog/74644/
Шампунь протеиновый для волос 500 мл,"Мягкая формула шампуня, с натуральными протеинами и нейтральным pH, идеально подходит для волос травмированных после технических процедур. Фрагменты протеиновых молекул достраивают кератиновую фибру волос в местах повреждений, и тем самым, укрепляют структуру ослабленных волос. Возвращает волосам...",1405,https://www.proficosmetics.ru/catalog/152130/
Шампунь с разглаживающим действием для гладких или вьющихся волос / S-LISAP ULTIMATE PLUS 1000 мл,"Благодаря деликатной моющей основе нежно очищает волосы. Снижает волнистость и облегчает расчёсывание. Основные действующие ингредиенты в составе керамидо-кератиновый комплекс Kerasil, фруктовые аминокислоты обеспечивают укрепление структуры волос, придают дополнительный объем, увеличивают...",1810,https://www.proficosmetics.ru/catalog/80001/
Шампунь для сухих волос / SDL M NUTRITIVE LOW SHAMPOO 1000 мл,"Увлажняющий шампунь для сухих волос. Мягко очищает, восстанавливает структуру волоса, питает, делая их мягкими и блестящими. Экстракт меда сохраняет влагу внутри волоса. Комплекс сохранения цвета продлевает и усиливает сияние и интенсивность цвета. Подходит для окрашенных волос. Не содержит...",3800,https://www.proficosmetics.ru/catalog/150022/
Шампунь для жирной кожи головы 500 мл,Идеальный продукт для жирных волос и кожи головы. Мягкая очищающая база шампуня не раздражает кожу головы и не провоцирует еще большее выделение кожного сала. Нормализует работу сальных желез кожи головы. Уже после первого применения увеличивается время между мытьем волос. Прически сохраняются...,1405,https://www.proficosmetics.ru/catalog/152206/
Шампунь для поврежденных волос / DAMAGED HAIR 900 мл,"Шампунь для поврежденных волос DAMAGED HAIR для интенсивного восстановления. Сильное химическое воздействие, окрашивание, сезонные изменения и перепады температур — всё это факторы, которые повреждают волосы и делают их ломкими, сухими, тусклыми и безжизненными....",1870,https://www.proficosmetics.ru/catalog/141540/
Шампунь для интенсивного увлажнения волос / OTIUM AQUA 1000 мл,"Шампунь для сухих волос, которым не хватает увлажнения. Мягко очищает волосы, устраняя загрязнения. Интенсивно насыщает волосы влагой, придает им блеск. Устраняет сухость и ломкость волос, помогает предотвратить сечение кончиков. Шампунь способствует длительному сохранению увлажненности волос,...",1430,https://www.proficosmetics.ru/catalog/98805/
Шампунь для ежедневного применения / Curex Classic 1000 мл,"Шампунь для всех типов волос. Предназначен для ежедневного применения. Бережно очищает волосы от загрязнений, не пересушивая и не повреждая их. Устраняет излишнюю жирность кожи головы. Шампунь содержит увлажняющие и питательные компоненты, которые способствуют улучшению состояния волос....",730,https://www.proficosmetics.ru/catalog/47103/
Шампунь для придания объема волосам / VOLUMIZING LOW SHAMPOO 1000 мл,"Легкий шампунь для тонких волос мягко очищает, делает волосы густыми и придает естественный объем от корней. Тонкие волосы становятся плотными и густыми без потери мягкости. Подходит для окрашенных волос. CLIMATE-PROOF - это специальный активный ингредиент, который поддерживает оптимальный уровень...",3415,https://www.proficosmetics.ru/catalog/2353826/
Шампунь для окрашенных волос / Colore Shampoo PURIFY 1000 мл,"Colore Shampoo — шампунь для окрашенных волос. Надолго гарантирует окрашенным волосам яркий и интенсивный цвет. Его сбалансированный pH и питательная формула, обогащенная экстрактом и маслом семян маракуйи, возвращают мягкость и увлажнение капиллярного волокна. Масло...",1615,https://www.proficosmetics.ru/catalog/53027/
Шампунь гранатовый для волос 1000 мл,"Гранатовый шампунь рекомендован для сухих и ломких волос. Он богат веществами, которые реконструируют структуру волос, делая их более гладкими. Экстракт граната, входящий в состав шампуня, улучшает микроциркуляцию в коже головы, усиливая приток питательных веществ и кислорода к клеткам волосяного...",955,https://www.proficosmetics.ru/catalog/152240/
Шампунь протеиновый для волос 1000 мл,"Мягкая формула шампуня, с натуральными протеинами и нейтральным pH, идеально подходит для волос травмированных после технических процедур. Фрагменты протеиновых молекул достраивают кератиновую фибру волос в местах повреждений, и тем самым, укрепляют структуру ослабленных волос. Возвращает волосам...",2635,https://www.proficosmetics.ru/catalog/152202/
Шампунь защитный для сохранения цвета волос / MINU shampoo 250 мл,"Защитный шампунь MINU мягко очищает волосы, сохраняя цвет окрашенных волос и придаёт волосам блеск и шелковистость. Содержит экстракт цветов каперсника – многолетнего тропического кустарника, выращенного в Средиземноморье. Он ускоряет регенерацию тканей, снимает раздражения кожи, питает волосяные...",2380,https://www.proficosmetics.ru/catalog/86810/
Шампунь для волос / Shampoo Be Fill 1000 мл,"Шампунь для волос Shampoo Be Fill - шампунь с интенсивным реконструирующим и восстанавливающим действием для поврежденных и ломких волос. Благодаря специальной pH-сбалансированной тонизирующей формуле с кератином, он глубоко питает и укрепляет структуру волос, предотвращает ломкость и защищает от...",1050,https://www.proficosmetics.ru/catalog/3063321/
"Шампунь для волос Стойкость цвета, абрикос и миндаль / JOC COLOR 1000 мл","Сверхмягкий шампунь специально разработанный для сохранения цвета и защиты окрашенных волос, для усиления интенсивности и глубины цвета. Защищает волосы от фотоокисления, продлевает интенсивность цвета окрашенных волос. Содержит фильтр Blue Light Shield, защищающий волосы и кожу головы от...",1740,https://www.proficosmetics.ru/catalog/435702/
"Шампунь с коллагеном, молекулярное увлажнение волос / INTENSIVE 1000 мл","Шампунь бережно очищает волосы и кожные покровы головы, мгновенно устраняет сухость и надежно защищает от дегидрации. В состав шампуня ""Молекулярное увлажнение"" от Constant Delight входит коллаген морского происхождения. Он на клеточном уровне воздействует на структуру локонов, приносит с...",555,https://www.proficosmetics.ru/catalog/160829/
Шампунь восстанавливающий для вьющихся волос с африканским маслом ши / Curl Control 300 мл,"Шампунь восстанавливающий для вьющихся волос содержит полный комплекс масла Ши, протеины хлопка и шелка размягчающие и обволакивающие волос, создавая защитную оболочку и лечащие секущиеся кончики, витамин B6 для оживления волос, протеины восстанавливающие текстуру волоса, и аминокислоты укрепляющие...",3590,https://www.proficosmetics.ru/catalog/3102185/
Шампунь себорегулирующий / CARE Derma Regulate Shampoo 1000 мл,"Шампунь Keune Care Derma Regulate помогает нормализовать работу сальных желез. Средство замечательно успокаивает кожу головы, делает ее мягче, уменьшает количество кожного сала и блокирует его распределение по волосам. Шампунь Кене Кэа Дерма Регулейт создает объем, наполняя кожу натуральным...",3395,https://www.proficosmetics.ru/catalog/113152/
